Date,Open,High,Low,Close,Adj Close,Volume,var1(t-5),var1(t-4),var1(t-3),var1(t-2),var1(t-1),previous-close,movement
2016-10-17,117.33,117.84,116.78,117.55,112.05,23624900,116.05,116.3,117.34,116.98,117.63,117.63,down
2016-10-18,118.18,118.21,117.45,117.47,111.98,24553500,116.3,117.34,116.98,117.63,117.55,117.55,down
2016-10-19,117.25,117.76,113.8,117.12,111.64,20034600,117.34,116.98,117.63,117.55,117.47,117.47,down
2016-10-20,116.86,117.38,116.33,117.06,111.59,24125800,116.98,117.63,117.55,117.47,117.12,117.12,down
2016-10-21,116.81,116.91,116.28,116.6,111.15,23192700,117.63,117.55,117.47,117.12,117.06,117.06,down
2016-10-24,117.1,117.74,117.0,117.65,112.15,23538700,117.55,117.47,117.12,117.06,116.6,116.6,up
2016-10-25,117.95,118.36,117.31,118.25,112.72,48129000,117.47,117.12,117.06,116.6,117.65,117.65,up
2016-10-26,114.31,115.7,113.31,115.59,110.18,66134200,117.12,117.06,116.6,117.65,118.25,118.25,down
2016-10-27,115.39,115.86,114.1,114.48,109.13,34562000,117.06,116.6,117.65,118.25,115.59,115.59,down
2016-10-28,113.87,115.21,113.45,113.72,108.4,37861700,116.6,117.65,118.25,115.59,114.48,114.48,down
2016-10-31,113.65,114.23,113.2,113.54,108.23,26419400,117.65,118.25,115.59,114.48,113.72,113.72,down
2016-11-01,113.46,113.77,110.53,111.49,106.28,43825800,118.25,115.59,114.48,113.72,113.54,113.54,down
2016-11-02,111.4,112.35,111.23,111.59,106.37,28331700,115.59,114.48,113.72,113.54,111.49,111.49,up
2016-11-03,110.98,111.46,109.55,109.83,105.23,26932600,114.48,113.72,113.54,111.49,111.59,111.59,down
2016-11-04,108.53,110.25,108.11,108.84,104.28,30837000,113.72,113.54,111.49,111.59,109.83,109.83,down
2016-11-07,110.08,110.51,109.46,110.41,105.79,32560000,113.54,111.49,111.59,109.83,108.84,108.84,up
2016-11-08,110.31,111.72,109.7,111.06,106.41,24254200,111.49,111.59,109.83,108.84,110.41,110.41,up
2016-11-09,109.88,111.32,108.05,110.88,106.24,59176400,111.59,109.83,108.84,110.41,111.06,111.06,down
2016-11-10,111.09,111.09,105.83,107.79,103.28,57134500,109.83,108.84,110.41,111.06,110.88,110.88,down
2016-11-11,107.12,108.87,106.55,108.43,103.89,34143900,108.84,110.41,111.06,110.88,107.79,107.79,up
2016-11-14,107.71,107.81,104.08,105.71,101.28,51175500,110.41,111.06,110.88,107.79,108.43,108.43,down
2016-11-15,106.57,107.68,106.16,107.11,102.63,32264500,111.06,110.88,107.79,108.43,105.71,105.71,up
2016-11-16,106.7,110.23,106.6,109.99,105.38,58840500,110.88,107.79,108.43,105.71,107.11,107.11,up
2016-11-17,109.81,110.35,108.83,109.95,105.35,27632000,107.79,108.43,105.71,107.11,109.99,109.99,down
2016-11-18,109.72,110.54,109.66,110.06,105.45,28428900,108.43,105.71,107.11,109.99,109.95,109.95,up
2016-11-21,110.12,111.99,110.01,111.73,107.05,29264600,105.71,107.11,109.99,109.95,110.06,110.06,up
2016-11-22,111.95,112.42,111.4,111.8,107.12,25965500,107.11,109.99,109.95,110.06,111.73,111.73,up
2016-11-23,111.36,111.51,110.33,111.23,106.57,27426400,109.99,109.95,110.06,111.73,111.8,111.8,down
2016-11-25,111.13,111.87,110.95,111.79,107.11,11475900,109.95,110.06,111.73,111.8,111.23,111.23,up
2016-11-28,111.43,112.47,111.39,111.57,106.9,27194000,110.06,111.73,111.8,111.23,111.79,111.79,down
2016-11-29,110.78,112.03,110.07,111.46,106.79,28528800,111.73,111.8,111.23,111.79,111.57,111.57,down
2016-11-30,111.6,112.2,110.27,110.52,105.89,36162300,111.8,111.23,111.79,111.57,111.46,111.46,down
2016-12-01,110.37,110.94,109.03,109.49,104.91,37086900,111.23,111.79,111.57,111.46,110.52,110.52,down
2016-12-02,109.17,110.09,108.85,109.9,105.3,26528000,111.79,111.57,111.46,110.52,109.49,109.49,up
2016-12-05,110.0,110.03,108.25,109.11,104.54,34324500,111.57,111.46,110.52,109.49,109.9,109.9,down
2016-12-06,109.5,110.36,109.19,109.95,105.35,26195500,111.46,110.52,109.49,109.9,109.11,109.11,up
2016-12-07,109.26,111.19,109.16,111.03,106.38,29998700,110.52,109.49,109.9,109.11,109.95,109.95,up
2016-12-08,110.86,112.43,110.6,112.12,107.43,27068300,109.49,109.9,109.11,109.95,111.03,111.03,up
2016-12-09,112.31,114.7,112.31,113.95,109.18,34402600,109.9,109.11,109.95,111.03,112.12,112.12,up
